datum;talsperre;stauraum_mio_m3;inhalt_mio_m3;fuellgrad_pct;quelle
2015-01-01;Breitenbach;7.8;4.86;62.31;https://www.bra.nrw.de/system/files/media/document/file/15_01_01.pdf
2015-01-01;Obernau;14.9;11.03;74.03;https://www.bra.nrw.de/system/files/media/document/file/15_01_01.pdf
2015-01-15;Breitenbach;7.8;5.49;70.38;https://www.bra.nrw.de/system/files/media/document/file/15_01_15.pdf
2015-01-15;Obernau;14.9;12.11;81.28;https://www.bra.nrw.de/system/files/media/document/file/15_01_15.pdf
2015-02-01;Breitenbach;7.8;5.82;74.62;https://www.bra.nrw.de/system/files/media/document/file/15_02_01.pdf
2015-02-01;Obernau;14.9;12.49;83.83;https://www.bra.nrw.de/system/files/media/document/file/15_02_01.pdf
2015-02-15;Breitenbach;7.8;5.86;75.13;https://www.bra.nrw.de/system/files/media/document/file/15_02_15.pdf
2015-02-15;Obernau;14.9;12.49;83.83;https://www.bra.nrw.de/system/files/media/document/file/15_02_15.pdf
2015-03-01;Breitenbach;7.8;5.99;76.79;https://www.bra.nrw.de/system/files/media/document/file/15_03_01.pdf
2015-03-01;Obernau;14.9;12.65;84.9;https://www.bra.nrw.de/system/files/media/document/file/15_03_01.pdf
2015-03-15;Breitenbach;7.8;6.25;80.13;https://www.bra.nrw.de/system/files/media/document/file/15_03_15.pdf
2015-03-15;Obernau;14.9;13.26;88.99;https://www.bra.nrw.de/system/files/media/document/file/15_03_15.pdf
2015-04-01;Breitenbach;7.8;6.29;80.64;https://www.bra.nrw.de/system/files/media/document/file/15_04_01.pdf
2015-04-01;Obernau;14.9;13.37;89.73;https://www.bra.nrw.de/system/files/media/document/file/15_04_01.pdf
2015-04-15;Breitenbach;7.8;6.77;86.79;https://www.bra.nrw.de/system/files/media/document/file/15_04_15.pdf
2015-04-15;Obernau;14.9;14.29;95.91;https://www.bra.nrw.de/system/files/media/document/file/15_04_15.pdf
2015-05-01;Breitenbach;7.8;6.63;85.0;https://www.bra.nrw.de/system/files/media/document/file/15_05_01.pdf
2015-05-01;Obernau;14.9;14.08;94.5;https://www.bra.nrw.de/system/files/media/document/file/15_05_01.pdf
2015-05-15;Breitenbach;7.8;6.52;83.59;https://www.bra.nrw.de/system/files/media/document/file/15_05_15.pdf
2015-05-15;Obernau;14.9;13.81;92.68;https://www.bra.nrw.de/system/files/media/document/file/15_05_15.pdf
2015-06-01;Breitenbach;7.8;6.48;83.08;https://www.bra.nrw.de/system/files/media/document/file/15_06_01.pdf
2015-06-01;Obernau;14.9;13.45;90.27;https://www.bra.nrw.de/system/files/media/document/file/15_06_01.pdf
2015-06-15;Breitenbach;7.8;6.05;77.56;https://www.bra.nrw.de/system/files/media/document/file/15_06_15.pdf
2015-06-15;Obernau;14.9;13.07;87.72;https://www.bra.nrw.de/system/files/media/document/file/15_06_15.pdf
2015-07-01;Breitenbach;7.8;5.75;73.72;https://www.bra.nrw.de/system/files/media/document/file/15_07_01.pdf
2015-07-01;Obernau;14.9;12.66;84.97;https://www.bra.nrw.de/system/files/media/document/file/15_07_01.pdf
2015-07-15;Breitenbach;7.8;5.48;70.23;https://www.bra.nrw.de/system/files/media/document/file/15_07_15.pdf
2015-07-15;Obernau;14.9;12.26;82.31;https://www.bra.nrw.de/system/files/media/document/file/15_07_15.pdf
2015-08-01;Breitenbach;7.8;5.24;67.18;https://www.bra.nrw.de/system/files/media/document/file/15_08_01.pdf
2015-08-01;Obernau;14.9;11.89;79.8;https://www.bra.nrw.de/system/files/media/document/file/15_08_01.pdf
2015-08-15;Breitenbach;7.8;5.03;64.49;https://www.bra.nrw.de/system/files/media/document/file/15_08_15.pdf
2015-08-15;Obernau;14.9;11.53;77.38;https://www.bra.nrw.de/system/files/media/document/file/15_08_15.pdf
2015-09-01;Breitenbach;7.8;4.88;62.56;https://www.bra.nrw.de/system/files/media/document/file/15_09_01.pdf
2015-09-01;Obernau;14.9;11.12;74.63;https://www.bra.nrw.de/system/files/media/document/file/15_09_01.pdf
2015-09-15;Breitenbach;7.8;4.79;61.41;https://www.bra.nrw.de/system/files/media/document/file/15_09_15.pdf
2015-09-15;Obernau;14.9;10.81;72.55;https://www.bra.nrw.de/system/files/media/document/file/15_09_15.pdf
2015-10-01;Breitenbach;7.8;4.83;61.92;https://www.bra.nrw.de/system/files/media/document/file/15_10_01.pdf
2015-10-01;Obernau;14.9;10.51;70.54;https://www.bra.nrw.de/system/files/media/document/file/15_10_01.pdf
2015-10-15;Breitenbach;7.8;4.75;60.9;https://www.bra.nrw.de/system/files/media/document/file/15_10_15.pdf
2015-10-15;Obernau;14.9;10.2;68.46;https://www.bra.nrw.de/system/files/media/document/file/15_10_15.pdf
2015-11-01;Breitenbach;7.8;4.64;59.49;https://www.bra.nrw.de/system/files/media/document/file/15_11_01.pdf
2015-11-01;Obernau;14.9;9.79;65.7;https://www.bra.nrw.de/system/files/media/document/file/15_11_01.pdf
2015-11-15;Breitenbach;7.8;4.5;57.69;https://www.bra.nrw.de/system/files/media/document/file/15_11_15.pdf
2015-11-15;Obernau;14.9;9.46;63.49;https://www.bra.nrw.de/system/files/media/document/file/15_11_15.pdf
2015-12-01;Breitenbach;7.8;5.26;67.44;https://www.bra.nrw.de/system/files/media/document/file/15_12_01.pdf
2015-12-01;Obernau;14.9;10.22;68.59;https://www.bra.nrw.de/system/files/media/document/file/15_12_01.pdf
2015-12-15;Breitenbach;7.8;6.07;77.82;https://www.bra.nrw.de/system/files/media/document/file/15_12_15.pdf
2015-12-15;Obernau;14.9;11.62;77.99;https://www.bra.nrw.de/system/files/media/document/file/15_12_15.pdf
2016-01-01;Breitenbach;7.8;6.48;83.08;https://www.bra.nrw.de/system/files/media/document/file/16_01_01.pdf
2016-01-01;Obernau;14.9;12.17;81.68;https://www.bra.nrw.de/system/files/media/document/file/16_01_01.pdf
2016-01-15;Breitenbach;7.8;6.9;88.46;https://www.bra.nrw.de/system/files/media/document/file/16_01_15.pdf
2016-01-15;Obernau;14.9;12.55;84.23;https://www.bra.nrw.de/system/files/media/document/file/16_01_15.pdf
2016-02-01;Breitenbach;7.8;6.72;86.15;https://www.bra.nrw.de/system/files/media/document/file/16_02_01.pdf
2016-02-01;Obernau;14.9;13.13;88.12;https://www.bra.nrw.de/system/files/media/document/file/16_02_01.pdf
2016-02-15;Breitenbach;7.8;6.7;85.9;https://www.bra.nrw.de/system/files/media/document/file/16_02_15.pdf
2016-02-15;Obernau;14.9;13.66;91.68;https://www.bra.nrw.de/system/files/media/document/file/16_02_15.pdf
2016-03-01;Breitenbach;7.8;6.95;89.1;https://www.bra.nrw.de/system/files/media/document/file/16_03_01.pdf
2016-03-01;Obernau;14.9;14.02;94.09;https://www.bra.nrw.de/system/files/media/document/file/16_03_01.pdf
2016-03-15;Breitenbach;7.8;7.04;90.26;https://www.bra.nrw.de/system/files/media/document/file/16_03_15.pdf
2016-03-15;Obernau;14.9;14.14;94.9;https://www.bra.nrw.de/system/files/media/document/file/16_03_15.pdf
2016-04-01;Breitenbach;7.8;7.08;90.77;https://www.bra.nrw.de/system/files/media/document/file/16_04_01.pdf
2016-04-01;Obernau;14.9;14.17;95.1;https://www.bra.nrw.de/system/files/media/document/file/16_04_01.pdf
2016-04-15;Breitenbach;7.8;7.27;93.21;https://www.bra.nrw.de/system/files/media/document/file/16_04_15.pdf
2016-04-15;Obernau;14.9;14.68;98.52;https://www.bra.nrw.de/system/files/media/document/file/16_04_15.pdf
2016-05-01;Breitenbach;7.8;7.21;92.44;https://www.bra.nrw.de/system/files/media/document/file/16_05_01.pdf
2016-05-01;Obernau;14.9;14.51;97.38;https://www.bra.nrw.de/system/files/media/document/file/16_05_01.pdf
2016-05-15;Breitenbach;7.8;7.14;91.54;https://www.bra.nrw.de/system/files/media/document/file/16_05_15.pdf
2016-05-15;Obernau;14.9;14.37;96.44;https://www.bra.nrw.de/system/files/media/document/file/16_05_15.pdf
2016-06-01;Breitenbach;7.8;7.01;89.87;https://www.bra.nrw.de/system/files/media/document/file/16_06_01.pdf
2016-06-01;Obernau;14.9;14.19;95.23;https://www.bra.nrw.de/system/files/media/document/file/16_06_01.pdf
2016-06-15;Breitenbach;7.8;7.07;90.64;https://www.bra.nrw.de/system/files/media/document/file/16_06_15.pdf
2016-06-15;Obernau;14.9;14.59;97.92;https://www.bra.nrw.de/system/files/media/document/file/16_06_15.pdf
2016-07-01;Breitenbach;7.8;6.96;89.23;https://www.bra.nrw.de/system/files/media/document/file/16_07_01.pdf
2016-07-01;Obernau;14.9;14.73;98.86;https://www.bra.nrw.de/system/files/media/document/file/16_07_01.pdf
2016-07-15;Breitenbach;7.8;5.56;71.28;https://www.bra.nrw.de/system/files/media/document/file/16_07_15.pdf
2016-07-15;Obernau;14.9;14.52;97.45;https://www.bra.nrw.de/system/files/media/document/file/16_07_15.pdf
2016-08-01;Breitenbach;7.8;5.03;64.49;https://www.bra.nrw.de/system/files/media/document/file/16_08_01.pdf
2016-08-01;Obernau;14.9;14.07;94.43;https://www.bra.nrw.de/system/files/media/document/file/16_08_01.pdf
2016-08-15;Breitenbach;7.8;4.89;62.69;https://www.bra.nrw.de/system/files/media/document/file/16_08_15.pdf
2016-08-15;Obernau;14.9;13.77;92.42;https://www.bra.nrw.de/system/files/media/document/file/16_08_15.pdf
2016-09-01;Breitenbach;7.8;4.61;59.1;https://www.bra.nrw.de/system/files/media/document/file/16_09_01.pdf
2016-09-01;Obernau;14.9;13.26;88.99;https://www.bra.nrw.de/system/files/media/document/file/16_09_01.pdf
2016-09-15;Breitenbach;7.8;4.41;56.54;https://www.bra.nrw.de/system/files/media/document/file/16_09_15.pdf
2016-09-15;Obernau;14.9;12.9;86.58;https://www.bra.nrw.de/system/files/media/document/file/16_09_15.pdf
2016-10-01;Breitenbach;7.8;4.1;52.56;https://www.bra.nrw.de/system/files/media/document/file/16_10_01.pdf
2016-10-01;Obernau;14.9;12.38;83.09;https://www.bra.nrw.de/system/files/media/document/file/16_10_01.pdf
2016-10-15;Breitenbach;7.8;3.87;49.62;https://www.bra.nrw.de/system/files/media/document/file/16_10_15.pdf
2016-10-15;Obernau;14.9;11.99;80.47;https://www.bra.nrw.de/system/files/media/document/file/16_10_15.pdf
2016-11-01;Breitenbach;7.8;3.64;46.67;https://www.bra.nrw.de/system/files/media/document/file/16_11_01.pdf
2016-11-01;Obernau;14.9;11.56;77.58;https://www.bra.nrw.de/system/files/media/document/file/16_11_01.pdf
2016-11-15;Breitenbach;7.8;3.48;44.62;https://www.bra.nrw.de/system/files/media/document/file/16_11_15.pdf
2016-11-15;Obernau;14.9;11.21;75.23;https://www.bra.nrw.de/system/files/media/document/file/16_11_15.pdf
2016-12-01;Breitenbach;7.8;3.47;44.49;https://www.bra.nrw.de/system/files/media/document/file/16_12_01.pdf
2016-12-01;Obernau;14.9;11.0;73.83;https://www.bra.nrw.de/system/files/media/document/file/16_12_01.pdf
2016-12-15;Breitenbach;7.8;3.32;42.56;https://www.bra.nrw.de/system/files/media/document/file/16_12_15.pdf
2016-12-15;Obernau;14.9;10.62;71.28;https://www.bra.nrw.de/system/files/media/document/file/16_12_15.pdf
2017-01-01;Breitenbach;7.8;3.21;41.15;https://www.bra.nrw.de/system/files/media/document/file/17_01_01.pdf
2017-01-01;Obernau;14.9;10.23;68.66;https://www.bra.nrw.de/system/files/media/document/file/17_01_01.pdf
2017-01-15;Breitenbach;7.8;3.18;40.77;https://www.bra.nrw.de/system/files/media/document/file/17_01_15.pdf
2017-01-15;Obernau;14.9;10.03;67.32;https://www.bra.nrw.de/system/files/media/document/file/17_01_15.pdf
2017-02-01;Breitenbach;7.8;3.14;40.26;https://www.bra.nrw.de/system/files/media/document/file/17_02_01.pdf
2017-02-01;Obernau;14.9;9.75;65.44;https://www.bra.nrw.de/system/files/media/document/file/17_02_01.pdf
2017-02-15;Breitenbach;7.8;3.39;43.46;https://www.bra.nrw.de/system/files/media/document/file/17_02_15.pdf
2017-02-15;Obernau;14.9;10.14;68.05;https://www.bra.nrw.de/system/files/media/document/file/17_02_15.pdf
2017-03-01;Breitenbach;7.8;3.9;50.0;https://www.bra.nrw.de/system/files/media/document/file/17_03_01.pdf
2017-03-01;Obernau;14.9;10.86;72.89;https://www.bra.nrw.de/system/files/media/document/file/17_03_01.pdf
2017-03-15;Breitenbach;7.8;4.81;61.67;https://www.bra.nrw.de/system/files/media/document/file/17_03_15.pdf
2017-03-15;Obernau;14.9;11.86;79.6;https://www.bra.nrw.de/system/files/media/document/file/17_03_15.pdf
2017-04-01;Breitenbach;7.8;5.11;65.51;https://www.bra.nrw.de/system/files/media/document/file/17_04_01.pdf
2017-04-01;Obernau;14.9;12.16;81.61;https://www.bra.nrw.de/system/files/media/document/file/17_04_01.pdf
2017-04-15;Breitenbach;7.8;5.01;64.23;https://www.bra.nrw.de/system/files/media/document/file/17_04_15.pdf
2017-04-15;Obernau;14.9;11.89;79.8;https://www.bra.nrw.de/system/files/media/document/file/17_04_15.pdf
2017-05-01;Breitenbach;7.8;4.88;62.56;https://www.bra.nrw.de/system/files/media/document/file/17_05_01.pdf
2017-05-01;Obernau;14.9;11.56;77.58;https://www.bra.nrw.de/system/files/media/document/file/17_05_01.pdf
2017-05-15;Breitenbach;7.8;4.75;60.9;https://www.bra.nrw.de/system/files/media/document/file/17_05_15.pdf
2017-05-15;Obernau;14.9;11.43;76.71;https://www.bra.nrw.de/system/files/media/document/file/17_05_15.pdf
2017-06-01;Breitenbach;7.8;4.56;58.46;https://www.bra.nrw.de/system/files/media/document/file/17_06_01.pdf
