datum;talsperre;fuellgrad_pct;inhalt_mio_m3;quelle
1998-01-01;Breitenbachtalsperre;57.69;4.5;https://web.archive.org/web/20030515073815id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1998/01_01_98.html
1998-01-01;Obernautalsperre;58.12;8.66;https://web.archive.org/web/20030515073815id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1998/01_01_98.html
1998-01-15;Breitenbachtalsperre;65.38;5.1;https://web.archive.org/web/20030512125731id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1998/15_01_98.html
1998-01-15;Obernautalsperre;63.29;9.43;https://web.archive.org/web/20030512125731id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1998/15_01_98.html
1998-02-01;Breitenbachtalsperre;66.67;5.2;https://web.archive.org/web/20030929173133id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1998/01_02_98.html
1998-02-01;Obernautalsperre;61.75;9.2;https://web.archive.org/web/20030929173133id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1998/01_02_98.html
1998-02-15;Breitenbachtalsperre;67.31;5.25;https://web.archive.org/web/20030512130020id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1998/15_02_98.html
1998-02-15;Obernautalsperre;63.69;9.49;https://web.archive.org/web/20030512130020id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1998/15_02_98.html
1998-03-01;Breitenbachtalsperre;66.15;5.16;https://web.archive.org/web/20030929173024id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1998/01_03_98.html
1998-03-01;Obernautalsperre;62.42;9.3;https://web.archive.org/web/20030929173024id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1998/01_03_98.html
1998-03-15;Breitenbachtalsperre;81.28;6.34;https://web.archive.org/web/20030929173818id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1998/15_03_98.html
1998-03-15;Obernautalsperre;75.3;11.22;https://web.archive.org/web/20030929173818id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1998/15_03_98.html
1998-04-01;Breitenbachtalsperre;82.82;6.46;https://web.archive.org/web/20030512130600id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1998/01_04_98.html
