datum;talsperre;fuellgrad_pct;inhalt_mio_m3;quelle
2025-11-01;Breitenbachtalsperre;48.59;3.79;https://www.bra.nrw.de/system/files/media/document/file/2026-08-01_talsperrenfuellstaende.pdf
2025-11-01;Obernautalsperre;52.15;7.77;https://www.bra.nrw.de/system/files/media/document/file/2026-08-01_talsperrenfuellstaende.pdf
2025-11-15;Breitenbachtalsperre;49.97;3.9;https://www.bra.nrw.de/system/files/media/document/file/2026-08-01_talsperrenfuellstaende.pdf
2025-11-15;Obernautalsperre;51.07;7.61;https://www.bra.nrw.de/system/files/media/document/file/2026-08-01_talsperrenfuellstaende.pdf
2025-12-01;Breitenbachtalsperre;49.41;3.85;https://www.bra.nrw.de/system/files/media/document/file/2026-08-01_talsperrenfuellstaende.pdf
2025-12-01;Obernautalsperre;49.13;7.32;https://www.bra.nrw.de/system/files/media/document/file/2026-08-01_talsperrenfuellstaende.pdf
2025-12-15;Breitenbachtalsperre;52.72;4.11;https://www.bra.nrw.de/system/files/media/document/file/2026-08-01_talsperrenfuellstaende.pdf
2025-12-15;Obernautalsperre;50.32;7.5;https://www.bra.nrw.de/system/files/media/document/file/2026-08-01_talsperrenfuellstaende.pdf
2026-01-01;Breitenbachtalsperre;52.92;4.13;https://www.bra.nrw.de/system/files/media/document/file/2026-08-01_talsperrenfuellstaende.pdf
2026-01-01;Obernautalsperre;49.13;7.32;https://www.bra.nrw.de/system/files/media/document/file/2026-08-01_talsperrenfuellstaende.pdf
2026-01-15;Breitenbachtalsperre;53.13;4.14;https://www.bra.nrw.de/system/files/media/document/file/2026-08-01_talsperrenfuellstaende.pdf
2026-01-15;Obernautalsperre;48.04;7.16;https://www.bra.nrw.de/system/files/media/document/file/2026-08-01_talsperrenfuellstaende.pdf
2026-02-01;Breitenbachtalsperre;58.72;4.58;https://www.bra.nrw.de/system/files/media/document/file/2026-08-01_talsperrenfuellstaende.pdf
2026-02-01;Obernautalsperre;51.6;7.69;https://www.bra.nrw.de/system/files/media/document/file/2026-08-01_talsperrenfuellstaende.pdf
2026-02-15;Breitenbachtalsperre;61.94;4.83;https://www.bra.nrw.de/system/files/media/document/file/2026-08-01_talsperrenfuellstaende.pdf
2026-02-15;Obernautalsperre;54.25;8.08;https://www.bra.nrw.de/system/files/media/document/file/2026-08-01_talsperrenfuellstaende.pdf
2026-03-01;Breitenbachtalsperre;73.23;5.71;https://www.bra.nrw.de/system/files/media/document/file/2026-08-01_talsperrenfuellstaende.pdf
2026-03-01;Obernautalsperre;64.66;9.63;https://www.bra.nrw.de/system/files/media/document/file/2026-08-01_talsperrenfuellstaende.pdf
2026-03-15;Breitenbachtalsperre;73.59;5.74;https://www.bra.nrw.de/system/files/media/document/file/2026-08-01_talsperrenfuellstaende.pdf
2026-03-15;Obernautalsperre;64.92;9.67;https://www.bra.nrw.de/system/files/media/document/file/2026-08-01_talsperrenfuellstaende.pdf
2026-04-01;Breitenbachtalsperre;73.46;5.73;https://www.bra.nrw.de/system/files/media/document/file/2026-08-01_talsperrenfuellstaende.pdf
2026-04-01;Obernautalsperre;64.66;9.63;https://www.bra.nrw.de/system/files/media/document/file/2026-08-01_talsperrenfuellstaende.pdf
2026-04-15;Breitenbachtalsperre;73.0;5.69;https://www.bra.nrw.de/system/files/media/document/file/2026-08-01_talsperrenfuellstaende.pdf
2026-04-15;Obernautalsperre;64.39;9.59;https://www.bra.nrw.de/system/files/media/document/file/2026-08-01_talsperrenfuellstaende.pdf
2026-05-01;Breitenbachtalsperre;71.5;5.58;https://www.bra.nrw.de/system/files/media/document/file/2026-08-01_talsperrenfuellstaende.pdf
2026-05-01;Obernautalsperre;62.39;9.3;https://www.bra.nrw.de/system/files/media/document/file/2026-08-01_talsperrenfuellstaende.pdf
2026-05-15;Breitenbachtalsperre;71.62;5.59;https://www.bra.nrw.de/system/files/media/document/file/2026-08-01_talsperrenfuellstaende.pdf
2026-05-15;Obernautalsperre;61.02;9.09;https://www.bra.nrw.de/system/files/media/document/file/2026-08-01_talsperrenfuellstaende.pdf
2026-06-01;Breitenbachtalsperre;70.24;5.48;https://www.bra.nrw.de/system/files/media/document/file/2026-08-01_talsperrenfuellstaende.pdf
2026-06-01;Obernautalsperre;59.76;8.9;https://www.bra.nrw.de/system/files/media/document/file/2026-08-01_talsperrenfuellstaende.pdf
2026-06-15;Breitenbachtalsperre;69.08;5.39;https://www.bra.nrw.de/system/files/media/document/file/2026-08-01_talsperrenfuellstaende.pdf
2026-06-15;Obernautalsperre;58.01;8.64;https://www.bra.nrw.de/system/files/media/document/file/2026-08-01_talsperrenfuellstaende.pdf
2026-07-01;Breitenbachtalsperre;67.12;5.24;https://www.bra.nrw.de/system/files/media/document/file/2026-08-01_talsperrenfuellstaende.pdf
2026-07-01;Obernautalsperre;55.11;8.21;https://www.bra.nrw.de/system/files/media/document/file/2026-08-01_talsperrenfuellstaende.pdf
2026-07-15;Breitenbachtalsperre;64.13;5.0;https://www.bra.nrw.de/system/files/media/document/file/2026-08-01_talsperrenfuellstaende.pdf
2026-07-15;Obernautalsperre;52.3;7.79;https://www.bra.nrw.de/system/files/media/document/file/2026-08-01_talsperrenfuellstaende.pdf
2026-08-01;Breitenbachtalsperre;60.38;4.71;https://www.bra.nrw.de/system/files/media/document/file/2026-08-01_talsperrenfuellstaende.pdf
2026-08-01;Obernautalsperre;48.91;7.29;https://www.bra.nrw.de/system/files/media/document/file/2026-08-01_talsperrenfuellstaende.pdf
