datum;talsperre;stauraum_mio_m3;inhalt_mio_m3;fuellgrad_pct;quelle
2021-09-01;Breitenbach;7.8;5.79;74.23;https://www.bra.nrw.de/system/files/media/document/file/talsperrenfuellstaende_01.09.2021.pdf
2021-09-01;Obernau;14.9;9.5;63.76;https://www.bra.nrw.de/system/files/media/document/file/talsperrenfuellstaende_01.09.2021.pdf
2021-09-15;Breitenbach;7.8;5.73;73.46;https://www.bra.nrw.de/system/files/media/document/file/talsperrenfuellstaende_vom_15.09.21.pdf
2021-09-15;Obernau;14.9;9.33;62.62;https://www.bra.nrw.de/system/files/media/document/file/talsperrenfuellstaende_vom_15.09.21.pdf
2021-10-01;Breitenbach;7.8;5.53;70.92;https://bra.nrw.de/system/files/media/document/file/talsperrenfuellstaende_01.10.2021.pdf
2021-10-01;Obernau;14.9;9.11;61.11;https://bra.nrw.de/system/files/media/document/file/talsperrenfuellstaende_01.10.2021.pdf
2021-10-15;Breitenbach;7.8;5.34;68.5;https://www.bra.nrw.de/system/files/media/document/file/talsperrenfuellstaende_15.10.2021.pdf
2021-10-15;Obernau;14.9;8.82;59.18;https://www.bra.nrw.de/system/files/media/document/file/talsperrenfuellstaende_15.10.2021.pdf
2021-11-01;Breitenbach;7.8;5.18;66.41;https://www.bra.nrw.de/system/files/media/document/file/talsperrenfuellstaende_01-11-2021.pdf
2021-11-01;Obernau;14.9;8.51;57.11;https://www.bra.nrw.de/system/files/media/document/file/talsperrenfuellstaende_01-11-2021.pdf
2021-11-15;Breitenbach;7.8;5.06;64.87;https://www.bra.nrw.de/system/files/media/document/file/talsperrenfuellstaende_15-11-2021.pdf
2021-11-15;Obernau;14.9;8.26;55.44;https://www.bra.nrw.de/system/files/media/document/file/talsperrenfuellstaende_15-11-2021.pdf
2021-12-01;Breitenbach;7.8;4.9;62.82;https://www.bra.nrw.de/system/files/media/document/file/talsperrenfuellstaende_2021-12-01.pdf
2021-12-01;Obernau;14.9;8.02;53.83;https://www.bra.nrw.de/system/files/media/document/file/talsperrenfuellstaende_2021-12-01.pdf
2021-12-15;Breitenbach;7.8;5.14;65.9;https://www.bra.nrw.de/system/files/media/document/file/talsperrenfuellstaende_vom_15.12.21.pdf
2021-12-15;Obernau;14.9;8.46;56.78;https://www.bra.nrw.de/system/files/media/document/file/talsperrenfuellstaende_vom_15.12.21.pdf
2022-01-01;Breitenbach;7.8;5.38;68.97;https://www.bra.nrw.de/system/files/media/document/file/talsperrenfullstande-vom-01.01.2022.pdf
2022-01-01;Obernau;14.9;8.89;59.66;https://www.bra.nrw.de/system/files/media/document/file/talsperrenfullstande-vom-01.01.2022.pdf
2022-02-01;Breitenbach;7.8;6.48;83.08;https://www.bra.nrw.de/system/files/media/document/file/talsperrenfuellstaende_01.02.2022.pdf
2022-02-01;Obernau;14.9;10.9;73.15;https://www.bra.nrw.de/system/files/media/document/file/talsperrenfuellstaende_01.02.2022.pdf
2022-02-15;Breitenbach;7.8;6.67;85.51;https://www.bra.nrw.de/system/files/media/document/file/talsperrenfuellstaende_vom_15.02.2022.pdf
2022-02-15;Obernau;14.9;12.71;85.3;https://www.bra.nrw.de/system/files/media/document/file/talsperrenfuellstaende_vom_15.02.2022.pdf
2022-03-01;Breitenbach;7.8;6.62;84.88;https://www.bra.nrw.de/system/files/media/document/file/talsperrenfullstande-vom-01.03.2022.pdf
2022-03-01;Obernau;14.9;13.68;91.81;https://www.bra.nrw.de/system/files/media/document/file/talsperrenfullstande-vom-01.03.2022.pdf
2022-03-15;Breitenbach;7.8;6.56;84.1;https://www.bra.nrw.de/system/files/media/document/file/talsperrenfuellstaende_15.03.2022.pdf
2022-03-15;Obernau;14.9;13.77;92.42;https://www.bra.nrw.de/system/files/media/document/file/talsperrenfuellstaende_15.03.2022.pdf
2022-04-15;Breitenbach;7.8;6.61;84.74;https://www.bra.nrw.de/system/files/media/document/file/talsperrenfullstande-vom-15.04.22.pdf
2022-04-15;Obernau;14.9;14.05;94.3;https://www.bra.nrw.de/system/files/media/document/file/talsperrenfullstande-vom-15.04.22.pdf
2022-05-01;Breitenbach;7.8;6.58;84.36;https://www.bra.nrw.de/system/files/media/document/file/talsperrenfuellstaende_01-05-22.pdf
2022-05-01;Obernau;14.9;13.92;93.42;https://www.bra.nrw.de/system/files/media/document/file/talsperrenfuellstaende_01-05-22.pdf
2022-05-15;Breitenbach;7.8;6.45;82.69;https://www.bra.nrw.de/system/files/media/document/file/talsperrenfuellstaende_15-05-22.pdf
2022-05-15;Obernau;14.9;13.73;92.15;https://www.bra.nrw.de/system/files/media/document/file/talsperrenfuellstaende_15-05-22.pdf
2022-06-15;Breitenbach;7.8;6.06;77.69;https://www.bra.nrw.de/system/files/media/document/file/talsperrenfuellstaende_vom_15.06.2022.pdf
2022-06-15;Obernau;14.9;12.98;87.11;https://www.bra.nrw.de/system/files/media/document/file/talsperrenfuellstaende_vom_15.06.2022.pdf
2022-07-01;Breitenbach;7.8;5.79;74.23;https://www.bra.nrw.de/system/files/media/document/file/talsperrenfuellstaende_vom_01-07-2022.pdf
2022-07-01;Obernau;14.9;12.57;84.36;https://www.bra.nrw.de/system/files/media/document/file/talsperrenfuellstaende_vom_01-07-2022.pdf
2022-08-01;Breitenbach;7.8;5.23;67.05;https://www.bra.nrw.de/system/files/media/document/file/talsperrenfuellstaende_v._01.08.22.pdf
2022-08-01;Obernau;14.9;11.68;78.39;https://www.bra.nrw.de/system/files/media/document/file/talsperrenfuellstaende_v._01.08.22.pdf
2022-08-15;Breitenbach;7.8;4.93;63.21;https://www.bra.nrw.de/system/files/media/document/file/talsperrenfuellstaende_15.08.2022.pdf
2022-08-15;Obernau;14.9;11.22;75.3;https://www.bra.nrw.de/system/files/media/document/file/talsperrenfuellstaende_15.08.2022.pdf
2022-09-01;Breitenbach;7.8;4.56;58.46;https://www.bra.nrw.de/system/files/media/document/file/talsperrenfuellstaende_01.09.2022.pdf
2022-09-01;Obernau;14.9;10.63;71.34;https://www.bra.nrw.de/system/files/media/document/file/talsperrenfuellstaende_01.09.2022.pdf
2022-09-15;Breitenbach;7.8;4.33;55.51;https://www.bra.nrw.de/system/files/media/document/file/talsperrenfuellstaende_vom_15.09.2022.pdf
2022-09-15;Obernau;14.9;10.27;68.93;https://www.bra.nrw.de/system/files/media/document/file/talsperrenfuellstaende_vom_15.09.2022.pdf
2022-10-01;Breitenbach;7.8;4.27;54.74;https://www.bra.nrw.de/system/files/media/document/file/2022-10-01_talsperrenfuellstaende.pdf
2022-10-01;Obernau;14.9;10.1;67.79;https://www.bra.nrw.de/system/files/media/document/file/2022-10-01_talsperrenfuellstaende.pdf
2022-10-15;Breitenbach;7.8;4.31;55.26;https://www.bra.nrw.de/system/files/media/document/file/2022-10-15_talsperrenfuellstaende.pdf
2022-10-15;Obernau;14.9;9.91;66.51;https://www.bra.nrw.de/system/files/media/document/file/2022-10-15_talsperrenfuellstaende.pdf
2022-11-01;Breitenbach;7.8;4.3;55.13;https://www.bra.nrw.de/system/files/media/document/file/2022-11-01_talsperrenfuellstaende.pdf
2022-11-01;Obernau;14.9;9.61;64.5;https://www.bra.nrw.de/system/files/media/document/file/2022-11-01_talsperrenfuellstaende.pdf
2022-11-15;Breitenbach;7.8;4.26;54.62;https://www.bra.nrw.de/system/files/media/document/file/2022-11-15_talsperrenfuellstaende.pdf
2022-11-15;Obernau;14.9;9.27;62.21;https://www.bra.nrw.de/system/files/media/document/file/2022-11-15_talsperrenfuellstaende.pdf
2022-12-01;Breitenbach;7.8;4.46;57.18;https://www.bra.nrw.de/system/files/media/document/file/2022-12-01_talsperrenfuellstaende.pdf
